"Points:0","Points:1","Points:2"
-58.969,26.677,-461.1
-59.328,25.834,-461.12
-58.488,27.235,-461.09
-2.8587,-11.977,-461.06
-2.7304,-10.075,-461.04
-60.43,23.486,-461.16
-3.126,-13.083,-461.08
-2.8756,-4.0057,-460.96
-3.2209,0.32011,-460.91
-60.161,20.333,-461.19
-59.107,15.872,-461.24
-6.7487,23.053,-460.66
-9.2272,27.403,-460.63
-26.138,-16.932,-461.34
-20.42,-18.725,-461.31
-3.6441,-14.675,-461.1
-48.511,-2.0672,-461.36
-47.439,-2.9595,-461.36
-48.87,-1.5957,-461.36
-42.95,28.802,-460.93
-44.491,28.412,-460.95
-38.339,31.562,-460.85
-39.018,30.872,-460.87
-52.253,28.227,-461.02
-56.503,28.509,-461.06
-12.988,30.445,-460.63
-37.115,32.552,-460.83
-28.922,36.389,-460.7
-31.018,35.263,-460.74
-25.512,35.918,-460.68
-14.286,-20.477,-461.27
-40.058,-8.615,-461.36
-50.139,0.29048,-461.35
-57.676,12.417,-461.27
-55.3,7.8585,-461.3
-12.512,-20.862,-461.26
-7.9404,-19.621,-461.2
-7.0095,-19.227,-461.19
-4.4222,-16.708,-461.13
-28.292,-15.92,-461.35
-36.546,-10.644,-461.36
-2.572,-7.4538,-461
-3.5507,5.0186,-460.86
-3.7341,10.143,-460.8
-48.593,27.909,-460.99
-33.214,34.947,-460.76
-6.5325,-18.661,-461.18
-3.5721,3.596,-460.88
-3.7533,10.513,-460.79
-4.1967,14.355,-460.75
-4.2356,14.523,-460.75
-6.0394,21.666,-460.67
-13.83,31.429,-460.63
-14.194,31.714,-460.63
-19.499,34.636,-460.64
-22.876,35.894,-460.66
-46.983,27.874,-460.98
-17.608,33.8,-460.63
