"Points:0","Points:1","Points:2"
17.468,48.105,-436.31
17.496,48.195,-436.31
20.541,37.785,-432.52
20.541,37.785,-432.52
21.895,52.161,-434.08
22.371,51.946,-433.73
16.994,46.334,-436.32
17.084,46.856,-436.35
17.93,49.351,-436.22
18.364,49.946,-436.03
23.37,39.816,-431
23.267,39.683,-431.04
17.749,39.549,-434.66
17.409,40.221,-435
18.884,38.228,-433.69
18.318,38.743,-434.15
24.201,50.366,-432.25
24.272,50.149,-432.16
22.075,38.385,-431.61
23.817,40.686,-430.85
19.666,51.391,-435.42
19.959,51.575,-435.26
24.98,47.506,-431.25
25.029,46.809,-431.09
16.82,42.578,-435.79
16.754,44.061,-436.09
20.54,37.785,-432.52
19.352,37.978,-433.34
24.643,49.182,-431.75
23.289,51.686,-433.08
23.479,51.419,-432.91
24.182,50.421,-432.27
24.586,42.486,-430.65
24.19,41.468,-430.74
20.633,52.052,-434.89
24.906,44.018,-430.7
24.698,42.978,-430.66
17.092,41.179,-435.38
17.04,41.316,-435.43
18.921,50.733,-435.8
17.003,41.514,-435.49
16.818,45.344,-436.27
25.052,46.251,-430.98
24.089,41.214,-430.76
16.755,44.095,-436.1
25.007,44.698,-430.75
21.663,52.12,-434.22
21.859,38.264,-431.73
24.702,48.979,-431.68
25.042,45.49,-430.86
24.909,47.921,-431.36
